sciName,comName,locName,obsReviewed,obsValid,obsDt,lat,howMany,subId,locationPrivate,lng,speciesCode,locId
Calidris mauri,Western Sandpiper,The Good Ditch,False,True,2024-02-27 12:05,25.155072,1,S163276640,True,-108.107007,wessan,L10940544
Calidris mauri,Western Sandpiper,San Andreas Road near Watsonville Slough,False,True,2024-02-28 17:02,36.8873767,3,S163225059,False,-121.8031577,wessan,L2324444
Calidris mauri,Western Sandpiper,Tenmile Creek Estuary,False,True,2024-02-28 09:41,43.5666017,1,S163193498,False,-124.2276478,wessan,L742822
Calidris mauri,Western Sandpiper,Billy Frank Jr. Nisqually NWR,True,True,2024-02-28 07:51,47.0812514,6,S163230098,False,-122.7180576,wessan,L282253
Calidris mauri,Western Sandpiper,Pete's Camp,False,True,2024-02-28 12:30,31.1347014,1,S163214730,False,-114.8891401,wessan,L22632534
Calidris mauri,Western Sandpiper,Estero de Santa Rosa,False,True,2024-02-28 14:52,28.9718784,162,S163224567,False,-112.1551323,wessan,L12965128
Calidris mauri,Western Sandpiper,Antigua Estación de Tren,False,True,2024-02-28 17:47,20.2979798,1,S163569480,False,-103.177296,wessan,L2088393
Calidris mauri,Western Sandpiper,Salton Sea NWR--Unit 1 (no public access north of observation deck),False,True,2024-02-29 16:35,33.0826963,130,S163311295,False,-115.7097244,wessan,L385867
Calidris mauri,Western Sandpiper,Playa de Golfo de Santa Clara,False,True,2024-02-29 12:13,31.6808025,300,S163508672,False,-114.4950485,wessan,L3480257
Calidris mauri,Western Sandpiper,Mirador de las Garzas--Laguna Oeste,False,True,2024-02-29 15:44,21.5474358,15,S163307322,False,-105.2610612,wessan,L1317110
Calidris mauri,Western Sandpiper,Rio Ameca--Desembocadura (Jalisco),False,True,2024-02-29 16:40,20.6720583,2,S164136711,False,-105.2791929,wessan,L7015683
Calidris mauri,Western Sandpiper,Newport Back Bay,False,True,2024-03-01 17:00,33.6264124,15,S164046739,False,-117.8853178,wessan,L859765
Calidris mauri,Western Sandpiper,Willapa NWR--Riekkola Unit,False,True,2024-03-01 15:03,46.3682,20,S163387542,False,-123.99618,wessan,L590941
Calidris mauri,Western Sandpiper,Empalme--Cuenca del Barco,False,True,2024-03-01 14:33,27.9597134,500,S163380849,False,-110.8271921,wessan,L2988424
Calidris mauri,Western Sandpiper,"Francisco Villa, Nayarit, MX (22.222, -105.331)Geros",False,True,2024-03-01 17:05,22.2215886,87,S163393547,True,-105.3308799,wessan,L29050598
Calidris mauri,Western Sandpiper,Chula Vista Bayfront Park (J St.),False,True,2024-03-02 17:59,32.6186091,25,S163508307,False,-117.1033868,wessan,L827977
Calidris mauri,Western Sandpiper,Warrenton Cannery Road,False,True,2024-03-02 13:27,46.7464125,25,S163485046,False,-124.0935448,wessan,L1363124
Calidris mauri,Western Sandpiper,Playa de Golfo de Santa Clara,False,True,2024-03-02 18:44,31.6808025,500,S163508605,False,-114.4950485,wessan,L3480257
Calidris mauri,Western Sandpiper,Granja de Camarón San Blas,False,True,2024-03-02 16:35,21.5652606,10,S163513171,False,-105.275414,wessan,L620587
Calidris mauri,Western Sandpiper,San Diego River mudflats (including Robb Field & north side),False,True,2024-03-03 17:06,32.7568803,35,S163646608,False,-117.2401432,wessan,L506275
Calidris mauri,Western Sandpiper,Samish Flats--West 90,False,True,2024-03-03 12:45,48.5476481,1,S163746566,False,-122.4876237,wessan,L587675
Calidris mauri,Western Sandpiper,Tsawwassen Ferry Terminal Jetty,True,True,2024-03-03 10:00,49.0157109,5,S163642652,False,-123.117063,wessan,L282714
Calidris mauri,Western Sandpiper,"Baja California, MX (31.208, -114.885)",False,True,2024-03-03 14:03,31.2080825,20,S163643491,True,-114.8852721,wessan,L29642022
Calidris mauri,Western Sandpiper,Playa de Golfo de Santa Clara,False,True,2024-03-03 16:26,31.6808025,410,S185357330,False,-114.4950485,wessan,L3480257
Calidris mauri,Western Sandpiper,Campos de Matanchen,False,True,2024-03-03 07:18,21.5062418,3,S163651538,False,-105.1876009,wessan,L5551186
Calidris mauri,Western Sandpiper,Bolsa Chica--walkbridge/inner bay,False,True,2024-03-04 17:12,33.6965128,300,S163752151,False,-118.0451372,wessan,L1165694
Calidris mauri,Western Sandpiper,Playa Vidanta,False,True,2024-03-04 07:03,20.6788371,2,S163735481,False,-105.2882958,wessan,L26885508
Calidris mauri,Western Sandpiper,Palo Alto Baylands,False,True,2024-03-05 17:59,37.459167,,S163847939,False,-122.10445,wessan,L152122
Calidris mauri,Western Sandpiper,Brunswick from 34th,True,True,2024-03-05 10:43,49.0574451,2,S163821144,True,-123.1405163,wessan,L5234569
Calidris mauri,Western Sandpiper,Playa de Golfo de Santa Clara,False,True,2024-03-05 09:19,31.6808025,20,S163998650,False,-114.4950485,wessan,L3480257
Calidris mauri,Western Sandpiper,Estero Paramán,False,True,2024-03-05 08:33,19.7287194,9,S163900597,False,-105.2733994,wessan,L812800
Calidris mauri,Western Sandpiper,Bolsa Chica Ecological Reserve,False,True,2024-03-06 17:32,33.7026531,59,S163936364,False,-118.050735,wessan,L164929
Calidris mauri,Western Sandpiper,Billy Frank Jr. Nisqually NWR,True,True,2024-03-06 07:31,47.0812514,2,S164000654,False,-122.7180576,wessan,L282253
Calidris mauri,Western Sandpiper,"North Duke from end of 34th St, Delta",True,True,2024-03-06 08:24,49.059521,3,S163906219,True,-123.130564,wessan,L29687219
Calidris mauri,Western Sandpiper,Playa de Golfo de Santa Clara,False,True,2024-03-06 10:08,31.6808025,300,S163997908,False,-114.4950485,wessan,L3480257
Calidris mauri,Western Sandpiper,Playa Vidanta,False,True,2024-03-06 06:53,20.6788371,450,S164014028,False,-105.2882958,wessan,L26885508
Calidris mauri,Western Sandpiper,Boca de Tomates (Jalisco),False,True,2024-03-06 10:30,20.6712255,450,S164242812,False,-105.2763297,wessan,L1907772
Calidris mauri,Western Sandpiper,Goleta Beach County Park (including east end of Goleta Slough),False,True,2024-03-07 16:54,34.4171771,21,S164050927,False,-119.829812,wessan,L375164
Calidris mauri,Western Sandpiper,Estero Cardonal--Lake,False,True,2024-03-07 09:35,28.45533,3,S200932370,True,-111.69062,wessan,L6476317
Calidris mauri,Western Sandpiper,Jarretaderas - camino a la playa,False,True,2024-03-07 07:11,20.6858102,150,S164011350,True,-105.2740064,wessan,L7018105
Calidris mauri,Western Sandpiper,Playa del Rey/Ballona area,False,True,2024-03-08 15:59,33.9634551,35,S164463179,False,-118.4519934,wessan,L2999612
Calidris mauri,Western Sandpiper,Fort Stevens SP--Trestle Bay,False,True,2024-03-08 13:12,46.2225494,2,S164162014,False,-124.0013742,wessan,L4032142
